"SkinID","HeroID","SkinName","SkinName_Confidence","SkinUrl"
"1","1","经典形象*刘备","0.992003","[""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/100101.png""]"
"2","1","英杰会聚*刘备","0.996265","[""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/506002.png""]"
"3","1","六星耀帝*刘备","0.995464","[""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/506001.png""]"
"4","1","励战年兽*刘备","0.996803","[""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/500103.png""]"
"5","1","桃园结义*刘备","0.992836","[""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/500104.png""]"
"6","1","困龙归海*刘备","0.991891","[""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/500105.png""]"
"7","1","御驾亲征*刘备","0.989734","[""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/400101.png?v=1d8e543c1""]"
"8","1","乱世枭雄*刘备","0.990419","[""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/406001.png?v=453f0f01""]"
"9","1","拦截囚车*刘备","0.929418","[""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/400103.png""]"
"10","1","立功得官*刘备","0.987407","[""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/400104.png""]"
"11","1","界限突破*刘备","0.990046","[""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/106001.png""]"
"12","1","烈帝玄德*刘备","0.98041","[""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/300101.png?v=1bb3e2741""]"
"13","1","仁君降世*刘备","0.985044","[""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/300102.png?v=448698241""]"
"14","1","开拓宏图*刘备","0.990971","[""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/306001.png?v=897bbb351""]"
"15","1","断石酬志*刘备","0.992371","[""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/306002.png""]"
"16","1","枭姬德爱*刘备","0.993529","[""https://web.sanguosha.com/10/pc/res/assets/runtime/general/big/static/306003.png?v=e8a7994a1""]"
